,Player Name,Player URL,Span,Matches,Innings,Overs,Maidens,Runs,Wickets,BBI,Ave,Econ,SR,4,5,Born,Age,Batting Style,Bowling Style,Playing Role
81,AR Patel (IND),https://www.espncricinfo.com/ci/content/player/554691.html,2015-2024,62,60,193.1,2,1427,62,3/9,23.01,7.38,18.6,0,0,"January 20, 1994, Anand, Gujarat",30y 191d,Left hand Bat,Slow Left arm Orthodox,Allrounder
82,E Sebareme (RWN),https://www.espncricinfo.com/ci/content/player/807509.html,2021-2024,65,60,178.3,4,1064,62,4/6,17.16,5.96,17.2,1,0,19-Dec-95,28y 223d,Right hand Bat,Right arm Offbreak,Bowling Allrounder
83,LH Ferguson (NZ),https://www.espncricinfo.com/ci/content/player/493773.html,2017-2024,42,42,151.1,5,1081,61,5/21,17.72,7.15,14.8,2,1,"June 13, 1991, Auckland",33y 46d,Right hand Bat,Right arm Fast,Bowler
84,AF Milne (NZ),https://www.espncricinfo.com/ci/content/player/450860.html,2010-2024,53,51,180.5,3,1524,61,5/26,24.98,8.42,17.7,2,1,"April 13, 1992, Palmerston North",32y 107d,Right hand Bat,Right arm Fast,Bowler
85,Mohammad Hafeez (PAK),https://www.espncricinfo.com/ci/content/player/41434.html,2006-2021,119,79,210.1,3,1388,61,4/10,22.75,6.6,20.6,1,0,"October 17, 1980, Sargodha, Punjab",43y 286d,Right hand Bat,Right arm Offbreak,Allrounder
86,Rohan Mustafa (UAE),https://www.espncricinfo.com/ci/content/player/307808.html,2014-2023,58,56,184.2,3,1283,61,4/18,21.03,6.96,18.1,1,0,"October 07, 1988, Kohat",35y 296d,Left hand Bat,Right arm Offbreak,Top order Batter
87,Sompal Kami (NEP),https://www.espncricinfo.com/ci/content/player/701215.html,2014-2024,68,68,212.4,5,1499,61,3/20,24.57,7.04,20.9,0,0,"February 02, 1996, Gulmi",28y 178d,Right hand Bat,Right arm Fast medium,Bowling Allrounder
88,Hasan Ali (PAK),https://www.espncricinfo.com/ci/content/player/681305.html,2016-2024,51,50,172.1,5,1456,60,4/18,24.26,8.45,17.2,1,0,"July 02, 1994, Gujranwala, Punjab",30y 27d,Right hand Bat,Right arm Medium fast,Bowler
89,AD Russell (WI),https://www.espncricinfo.com/ci/content/player/276298.html,2011-2024,82,71,196.3,0,1814,60,3/19,30.23,9.23,19.6,0,0,"April 29, 1988, Jamaica",36y 91d,Right hand Bat,Right arm Fast,Allrounder
90,RE van der Merwe (NED/SA),https://www.espncricinfo.com/ci/content/player/47850.html,2009-2024,57,55,180.1,1,1184,60,4/35,19.73,6.57,18,1,0,"December 31, 1984, Johannesburg, Transvaal (now Gauteng)",39y 211d,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder
91,SA Jumbe (TAN),https://www.espncricinfo.com/ci/content/player/723573.html,2021-2024,56,54,155.5,1,1157,59,5/10,19.61,7.42,15.8,2,1,"June 04, 1997, Temeke",27y 55d,Left hand Bat,Right arm Medium fast,
92,Mujeeb Ur Rahman (AFG),https://www.espncricinfo.com/ci/content/player/974109.html,2018-2024,46,46,168,1,1068,59,5/20,18.1,6.35,17,1,1,"March 28, 2001, Khost",23y 123d,Right hand Bat,Right arm Offbreak,Bowler
93,Naveen-ul-Haq (AFG),https://www.espncricinfo.com/ci/content/player/793447.html,2019-2024,45,45,149.2,1,1176,59,4/20,19.93,7.87,15.1,2,0,"September 23, 1999, Kabul",24y 310d,Right hand Bat,Right arm Medium fast,Bowler
94,WD Parnell (SA),https://www.espncricinfo.com/ci/content/player/265564.html,2009-2023,56,55,182.2,4,1513,59,5/30,25.64,8.29,18.5,1,1,"July 30, 1989, Port Elizabeth, Cape Province",34y 365d,Left hand Bat,Left arm Medium fast,Bowler
95,D Wiese (NAM/SA),https://www.espncricinfo.com/ci/content/player/221140.html,2013-2024,54,54,180.4,2,1299,59,5/23,22.01,7.19,18.3,1,1,"May 18, 1985, Roodepoort",39y 72d,Right hand Bat,Right arm Medium fast,Allrounder
96,MNM Aslam (KUW),https://www.espncricinfo.com/ci/content/player/359649.html,2019-2024,50,49,169,7,1015,58,4/5,17.5,6,17.4,2,0,"August 27, 1990, Kalubowila",33y 337d,Right hand Bat,Left arm Slow,Allrounder
97,NL McCullum (NZ),https://www.espncricinfo.com/ci/content/player/37749.html,2007-2016,63,59,187.1,0,1278,58,4/16,22.03,6.82,19.3,2,0,"September 01, 1980, Dunedin, Otago",43y 332d,Right hand Bat,Right arm Offbreak,Bowler
98,Muslim Yar (GER),https://www.espncricinfo.com/ci/content/player/1183927.html,2019-2024,44,44,154,4,947,58,3/9,16.32,6.14,15.9,0,0,10-May-99,25y 80d,Right hand Bat,Slow Left arm Orthodox,
99,KJ O'Brien (IRE),https://www.espncricinfo.com/ci/content/player/24605.html,2008-2021,110,52,152.5,0,1149,58,4/45,19.81,7.51,15.8,1,0,"March 04, 1984, Dublin, Ireland",40y 147d,Right hand Bat,Right arm Medium fast,Batting Allrounder
100,PM Seelaar (NED),https://www.espncricinfo.com/ci/content/player/208657.html,2008-2021,77,64,188.4,4,1290,58,4/19,22.24,6.83,19.5,1,0,"July 02, 1987, Schiedam",37y 27d,Right hand Bat,Slow Left arm Orthodox,Allrounder
101,F Nsubuga (UGA),https://www.espncricinfo.com/ci/content/player/26139.html,2019-2024,56,55,190.5,17,915,57,3/9,16.05,4.79,20,0,0,"August 28, 1980, Nsambia",43y 336d,Right hand Bat,Right arm Offbreak,Allrounder
102,LN Oluoch (KENYA),https://www.espncricinfo.com/ci/content/player/440162.html,2013-2024,59,55,161.3,3,1111,57,5/20,19.49,6.87,17,2,1,"August 07, 1991, Nairobi, Kenya",32y 357d,Right hand Bat,Left arm Fast medium,Bowler
103,Rizwan Butt (BHR),https://www.espncricinfo.com/ci/content/player/1344829.html,2022-2024,35,34,125.5,1,920,57,5/12,16.14,7.31,13.2,2,2,2-Jan-91,33y 209d,Right hand Bat,Right arm Medium,Bowler
104,B Ward (JER),https://www.espncricinfo.com/ci/content/player/1112212.html,2019-2024,40,39,140.4,5,795,57,4/6,13.94,5.65,14.8,3,0,27-Nov-98,25y 245d,Right hand Bat,Legbreak,
105,S Badree (WI/World),https://www.espncricinfo.com/ci/content/player/51433.html,2012-2018,52,52,191,4,1180,56,4/15,21.07,6.17,20.4,1,0,"March 09, 1981, Barrackpore, Trinidad",43y 142d,Right hand Bat,Legbreak,Bowler
106,BJ McCarthy (IRE),https://www.espncricinfo.com/ci/content/player/348059.html,2017-2024,56,56,200.5,3,1703,56,4/30,30.41,8.47,21.5,2,0,13-Sep-92,31y 320d,Right hand Bat,Right arm Fast medium,Bowler
